datum,obvod,vitez,vitezStrana
19961116,1,Kulhánek Vladimír,ODS
19961116,2,Vyvadil Jiří JUDr.,ČSSD
19961116,3,Morávek Peter,ČSSD
19961116,4,Falbr Richard JUDr.,NK
19961116,5,Drlý Ladislav Ing.,KSČM
19961116,6,"Havlíček Ivan RNDr.,CSc.",ČSSD
19961116,7,Jurečka Jaroslav Ing.,ODS
19961116,8,Jirava František MUDr.,ČSSD
19961116,9,Kulhánek Bohumil,ODS
19961116,10,Vachta Karel Mgr.,ČSSD
19961116,11,Smutný Petr Ing.,ČSSD
19961116,12,Rychetský Pavel JUDr.,ČSSD
19961116,13,Eybert Pavel,ODS
19961116,14,Pospíšil Jiří PhDr.,ODS
19961116,15,Štěch Milan,ČSSD
19961116,16,Rückl Jiří Ing.,ODA
19961116,17,Krámek Jan,ODS
19961116,18,Vojíř Zdeněk Ing.,ČSSD
19961116,19,"Mencl Václav Ing., arch.",ODS
19961116,20,Klausner Zdeněk,ODS
19961116,21,Žantovský Michael,ODA
19961116,22,Kondr Milan Ing.,ODS
19961116,23,Palečková Alena RNDr.,ODS
19961116,24,Pavlata Josef,ODS
19961116,25,Koukal Jan,ODS
19961116,26,Zeman Vladimír Ing.,ODS
19961116,27,Benda Václav PhDr.,ODS
19961116,28,Horák Jaroslav,ODS
19961116,29,Burda Karel Ing.,ODS
19961116,30,Svoboda Ladislav MUDr.,ČSSD
19961116,31,Neubauer Oto,ČSSD
19961116,32,"Musial Jaroslav JUDr., Ing.",ČSSD
19961116,33,Lansky Egon,ČSSD
19961116,34,Sobotka Přemysl MUDr.,ODS
19961116,35,Vízek František PaedDr.,ČSSD
19961116,36,Coufal Miroslav MUDr.,ČSSD
19961116,37,Liška Jiří MVDr.,ODS
19961116,38,Filipová Jarmila Ing.,ODS
19961116,39,Šubrt Vlastimil Ing.,ODS
19961116,40,Floss Karel Doc.PhDr.,ČSSD
19961116,41,Benešová Libuše PhDr.,ODS
19961116,42,Malát Vladislav Doc.RNDr. CSc.,ODS
19961116,43,Moserová Jaroslava Doc. Dr. DrSc.,ODA
19961116,44,Pithart Petr JUDr.,KDU-ČSL
19961116,45,Barták Karel Doc. MUDr. CSc.,ODA
19961116,46,Čada Bohumil,KDU-ČSL
19961116,47,Müller Miloslav,ODS
19961116,48,Bartoš František MVDr.,KDU-ČSL
19961116,49,Pavlů Libor Ing.,ČSSD
19961116,50,Brýdl Jiří Mgr.,KDU-ČSL
19961116,51,Šenkýř Jiří Ing.,KDU-ČSL
19961116,52,Jehlička Václav Mgr.,ODA
19961116,53,Heřman Pavel MVDr.,DEU
19961116,54,Špaček Milan MUDr.,KDU-ČSL
19961116,55,Svobodová Vlasta RNDr.,ODS
19961116,56,Pavlov Jiří Mgr.,ODS
19961116,57,Dočekal Oldřich RNDr.,KDU-ČSL
19961116,58,Zahradníček Luděk RNDr.,ODS
19961116,59,Salzmann Richard JUDr.,ODS
19961116,60,Zahradníček Jan,KDU-ČSL
19961116,61,"Jařab Josef Prof.,PhDr. CSc.,Dr.hc",ODA
19961116,62,Kavan Jan,ČSSD
19961116,63,Seitlová Jitka RNDr.,ODA
19961116,64,Babka Zdeněk Ing.,ČSSD
19961116,65,Reitinger Václav Ing.,ČSSD
19961116,66,Korytář Karel Ing.,ČSSD
19961116,67,Konečný František Mgr.,ODS
19961116,68,Voráček Jan,ODS
19961116,69,Vašínková Věra,ČSSD
19961116,70,Topolánek Mirek Ing.,ODS
19961116,71,Zapletal Jan Ing.,ČSSD
19961116,72,Matuška Vítězslav Ing.,ČSSD
